Year,Brand,Model,Mileage,Price
2023,TVS,DAZZ 110 PRIME,10201,"47,648"
2022,KAWASAKI,Dominar400 UG,21000,"139,170"
2023,YAMAHA,MIO AEROX S,19000,"91,102"
2023,YAMAHA,MIO AEROX S,7730,"102,377"
2024,YAMAHA,MIO FAZZIO,3185,"73,238"
2023,YAMAHA,MIO GEAR,5504,"50,293"
2022,YAMAHA,MIO GEAR,,"49,049"
2024,YAMAHA,MIO GEAR,3452,"62,741"
2022,YAMAHA,MIO GEAR,,"53,462"
2023,YAMAHA,MIO GEAR S,7777,"42,998"
2023,YAMAHA,MIO GEAR S,,"53,403"
2023,YAMAHA,MIO GEAR S,9071,"53,403"
2023,YAMAHA,MIO GEAR S,15692,"59,966"
2023,YAMAHA,MIO GEAR S,4121,"66,629"
2023,YAMAHA,MIO I 125,7852,"44,615"
2023,YAMAHA,MIO I 125,3605,"55,417"
2022,YAMAHA,MIO I 125,15986,"25,488"
2023,YAMAHA,MIO I 125,18519,"35,075"
2023,YAMAHA,MIO I 125,12432,"39,752"
2024,YAMAHA,MIO I 125S,1606,"58,916"
2022,YAMAHA,Mio Aerox,15403,"84,810"
2023,YAMAHA,Mio Aerox,30951,"86,709"
2024,YAMAHA,Mio Aerox,3063,"96,645"
2022,YAMAHA,Mio Aerox,20774,"86,709"
2022,YAMAHA,Mio Gravis,45706,"63,138"
2022,YAMAHA,NMAX ABS,25516,"103,298"
2024,YAMAHA,NMAX ABS (w/ Y-Connect),2390,"108,605"
2022,HONDA,PCX160 (ABS),18863,"91,661"
2023,HONDA,PCX160 (CBS),15262,"94,608"
2023,HONDA, PCX160 (CBS) ,19753,"103,565"
2023,HONDA,PCX160 (CBS),12000,"92,169"
2023,KAWASAKI,ROUSER NS125 Fi,5515,"64,763"
2024,SUZUKI,Raider R 150 Carburetor,5397,"75,712"
2022,YAMAHA,SNIPER155,21444,"72,377"
2024,YAMAHA,SOUL I 125,674,"64,296"
2023,YAMAHA,SOUL I 125,,"30,053"
2024,HONDA,Supra GTR 150,755,"60,908"
2024,HONDA,TMX 125A,4164,"40,720"
2019,YAMAHA,YTX 125,,"12,771"
2022,YAMAHA,YTX 125,10417,"18,616"
2023,BAJAJ,Bajaj RE 4s FI,,"112,148"
2018,YAMAHA,YTX 125,19198,"13,331"
2022,BAJAJ,Bajaj RE 4s FI ,,"64,335"
2024,KAWASAKI,CT125 w/ MCP,5090,"47,811"
2023,HONDA,Click160,3462,"87,960"
2023,BAJAJ,MAXIMA Z-A,32668,"116,523"
2024,YAMAHA,MIO GEAR,5825,"62,741"
2023,YAMAHA,MIO GEAR,6477,"62,741"
2023,YAMAHA,MIO I 125,15222,"49,360"
2024,YAMAHA,MIO I 125,4153,"61,574"
2024,YAMAHA,MIO I 125,9489,"55,417"
2022,YAMAHA,Mio Aerox,19749,"84,810"
2022,YAMAHA,TFX 150 (BY62),22533,"67,965"
2023,SUZUKI,BURGMAN STREET,15384,"52,159"
2023,SUZUKI,BURGMAN STREET 125 EX,12764,"52,761"
2024,HONDA,BeAT Playful ,960,"51,218"
2024,HONDA,CLICK 125 (SPECIAL EDITION),4815,"66,240"
2023,HONDA,CLICK 125i,17276,"57,954"
2024,HONDA,CLICK 125i,5836,"63,907"
2023,HONDA,CLICK 125i,5581,"65,074"
2023,HONDA,CLICK 125i,9861,"52,159"
2023,HONDA,CLICK 125i,11869,"57,954"
2023,KAWASAKI,CT125 w/ MCP,10162,"46,645"
2024,KYMCO,LIKE 125 ITALIA E3,8084,"52,968"
2023,YAMAHA,MIO AEROX (B1W3/B1W6),37631,"39,618"
2024,YAMAHA,MIO I 125,9984,"62,741"
2023,YAMAHA,MIO I 125,12860,"55,417"
2024,YAMAHA,MIO I 125S,13248,"59,337"
2023,YAMAHA,MIO SOUL I 125S,11278,"66,240"
2023,YAMAHA,MIO SPORTY,5824,"54,153"
2023,YAMAHA,MIO SPORTY,8857,"53,667"
2023,YAMAHA,MT-15,3915,"94,920"
2022,YAMAHA,Mio Aerox,14589,"86,709"
2024,YAMAHA,Mio Aerox,11187,"76,840"
2023,YAMAHA,NMAX ABS,4364,"86,751"
2024,YAMAHA,NMAX ABS (w/ Y-Connect),4818,"77,785"
2023,HONDA,PCX160 (ABS),15447,"96,327"
2024,HONDA,PCX160 (CBS),2693,"94,538"
2023,KAWASAKI,Rouser RS200 ABS,6356,"105,526"
2024,SUZUKI,SMASH 115 DISC/MAGS,2562,"29,941"
2024,YAMAHA,SNIPER155,3728,"70,459"
2024,HONDA,TMX 125A,2306,"45,245"
2024,HONDA,TMX 125A,4744,"45,245"
2023,FEKON,3GP 300,10670,"123,861"
2024,HONDA,ADV160,2292,"130,781"
2024,SUZUKI,BURGMAN STREET 125 EX,14771,"74,016"
2024,HONDA,BeAT Premium,2697,"52,268"
2024,HONDA,CLICK 125 (SPECIAL EDITION) ,4346,"59,616"
2024,HONDA,CLICK 125 (SPECIAL EDITION),5631,"58,991"
2024,HONDA,CLICK 125 (STANDARD),7668,"57,886"
2024,HONDA,CLICK 125 (STANDARD),3853,"64,296"
2024,HONDA,CLICK 125 (STANDARD),2912,"64,296"
2023,HONDA,CLICK 125i,26459,"51,226"
2023,HONDA,CLICK 125i,10630,"57,263"
2023,HONDA,CLICK 125i,14247,"63,907"
2022,HONDA,CLICK 125i,15000,"19,545"
2024,HONDA,CLICK 125i,11544,"64,607"
2023,HONDA,CLICK 125i,41373,"56,918"
2021,HONDA,CLICK 125i,69481,"54,498"
2022,HONDA,CLICK 125i,13376,"62,741"
2022,KAWASAKI,Dominar400 UG,24472,"135,784"
2024,YAMAHA,MIO GEAR S,1248,"66,629"
2024,YAMAHA,MIO I 125S,13847,"50,556"
2024,YAMAHA,MIO I 125S,,"52,470"
2023,YAMAHA,MIO SPORTY,14352,"53,116"
2022,YAMAHA,Mio Aerox,21000,"88,562"
2023,YAMAHA,Mio Aerox,21476,"78,038"
2021,YAMAHA,NMAX,18459,"94,234"
2022,YAMAHA,NMAX ABS,15245,"105,876"
2023,YAMAHA,NMAX ABS,13000,"95,394"
2023,YAMAHA,NMAX ABS,25188,"105,993"
2022,HONDA,PCX160 (CBS),25712,"80,464"
2022,SUZUKI,Raider R 150 Carburetor,16410,"66,156"
2024,SUZUKI,SMASH FI (SPOKES/DRUM),741,"48,969"
2023,YAMAHA,SNIPER155,11609,"97,344"
2024,YAMAHA,SNIPER155,3549,"90,059"
2022,YAMAHA,SNIPER155,22443,"84,220"
2023,YAMAHA,SNIPER155R,9000,"91,823"
2023,YAMAHA,SNIPER155R,18418,"102,010"
2022,SUZUKI,Smash 115 Spoke (FW110D),21302,"41,711"
2023,CFMOTO,300NK,3855,"129,600"
2023,CFMOTO,300SR,4602,"84,973"
2023,SUZUKI,Avenis,10537,"64,063"
2022,SUZUKI,BURGMAN STREET,7014,"65,074"
2024,BAJAJ,Bajaj RE 4s FI,10814,"155,655"
2022,BAJAJ,Bajaj RE 4s FI,24135,"67,383"
2023,KTM,DUKE 200,4069,"139,413"
2024,BAJAJ,MAXIMA Z-A,2256,"168,783"
2022,YAMAHA,MIO AEROX S,19646,"98,390"
2023,YAMAHA,MT-15,18823,"139,413"
2021,YAMAHA,NMAX ABS,24939,"93,966"
2022,BENELLI,PANAREA,26449,"36,897"
2023,KAWASAKI,ROUSER NS200 ABS,9919,"65,094"
2023,SUZUKI,Raider R 150 Fi,7781,"83,874"
2023,YAMAHA,SNIPER155,6753,"97,733"
2022,YAMAHA,SNIPER155,21640,"84,220"
2024,YAMAHA,SNIPER155R,6119,"114,451"
2024,HONDA,XRM 125 MOTARD Fi,5076,"63,286"
2023,YAMAHA,YZF-R15M (ICON PERFORMANCE),23247,"96,213"
2022,HONDA,Air Blade150,52096,"80,488"
2023,BAJAJ,Bajaj RE 4s FI ,19974,"123,380"
2024,KAWASAKI,CT125 w/ MCP,2639,"43,380"
2022,KAWASAKI,Rouser RS200 ABS,78075,"89,235"
2024,HONDA,BEAT (ACH110CBFR3),1939,"60,098"
2022,SUZUKI,BURGMAN STREET,24337,"34,171"
2023,YAMAHA,NMAX ABS,16399,"77,727"
2023,SUZUKI,Raider R 150 Carburetor,17063,"61,085"
2020,YAMAHA,SOUL I 125,70269,"41,771"
2023,KAWASAKI,BARAKO 175 ELECTRIC,8928,"52,051"
2019,BAJAJ,Bajaj RE Fi,22508,"79,624"
2024,HONDA,CLICK 125i,8913,"70,984"
2023,KAWASAKI,CT 150 (Boxer) ,,"35,557"
2023,KAWASAKI,CT125 w/ MCP,1768,"44,016"
2022,BAJAJ,MAXIMA CARGO,2962,"75,453"
2023,YAMAHA,MIO I 125,27527,"40,933"
2021,YAMAHA,MIO SOUL I 125S,20404,"22,724"
2024,SUZUKI,Raider R 150 Carburetor,10016,"84,898"
2023,HONDA,XRM 125 DUAL SPORT EXTREME (CFT125MRJ),3889,"37,557"
2023,HONDA,XRM 125 DUAL SPORT Fi,11684,"52,268"
2022,YAMAHA,YZF-R15M (Anniversary White),44920,"121,272"
2024,KAWASAKI,BARAKO III DUAL START,2038,"79,149"
2023,HONDA,BEAT FI,11166,"57,171"
2024,HONDA,CLICK 125 (SPECIAL EDITION),16738,"58,991"
2024,HONDA, CLICK 125 (SPECIAL EDITION),8692,"59,616"
2024,HONDA,CLICK 125 (STANDARD),4312,"57,866"
2024,HONDA,CLICK 125 (STANDARD),4516,"64,296"
2024,HONDA,CLICK 125i,10222,"58,452"
2024,HONDA,CLICK 125i,4787,"57,516"
2023,HONDA,CLICK 125i,19400,"64,947"
2024,HONDA,CLICK 125i,13155,"63,907"
2023,HONDA,CLICK 125i,10996,"41,633"
2023,HONDA,CLICK 125i,4754,"46,301"
2023,HONDA,CLICK 125i,22911,"64,947"
2023,HONDA,CLICK 125i,17336,"57,516"
2023,HONDA,CLICK 125i,4575,"64,947"
2023,HONDA,CLICK 125i,15388,"58,452"
2023,HONDA,CLICK 125i,28241,"66,114"
2023,HONDA,CLICK 125i,6235,"59,502"
2024,HONDA,CLICK 125i,7283,"58,452"
2023,HONDA,CLICK 125i,16453,"64,947"
2023,HONDA,CLICK 125i,12058,"58,452"
2023,HONDA,CLICK 125i,19506,"58,452"
2024,HONDA,Click160,17758,"77,353"
2023,HONDA,Click160,18751,"87,846"
